"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"03/03/2025","28,290.6","28,256.3","28,290.6","28,016.2","11.10M","-0.60%"
"28/02/2025","28,462.0","28,324.9","28,530.6","28,119.1","8.00M","0.00%"
"27/02/2025","28,462.0","28,290.6","28,496.3","28,016.2","8.79M","0.36%"
"26/02/2025","28,359.2","28,667.8","28,667.8","28,187.7","13.64M","-1.19%"
"25/02/2025","28,702.1","28,770.7","28,873.5","28,393.4","8.29M","-0.12%"
"24/02/2025","28,736.4","28,462.0","28,770.7","28,359.2","9.78M","0.96%"
"21/02/2025","28,462.0","28,016.2","28,462.0","27,776.2","11.15M","1.59%"
"20/02/2025","28,016.2","28,153.4","28,153.4","27,741.9","7.62M","0.86%"
"19/02/2025","27,776.2","27,810.5","28,084.8","27,741.9","8.87M","0.50%"
"18/02/2025","27,639.0","27,536.2","28,119.1","27,467.6","9.46M","0.37%"
"17/02/2025","27,536.2","27,776.2","27,879.1","27,536.2","8.61M","-0.99%"
"14/02/2025","27,810.5","28,119.1","28,359.2","27,776.2","7.98M","-0.73%"
"13/02/2025","28,016.2","27,639.0","28,324.9","27,639.0","10.05M","0.86%"
"12/02/2025","27,776.2","27,913.4","27,981.9","27,707.6","6.99M","-0.49%"
"11/02/2025","27,913.4","27,673.3","28,050.5","27,536.2","11.02M","0.99%"
"10/02/2025","27,639.0","27,981.9","28,187.7","27,467.6","13.79M","-1.23%"
"07/02/2025","27,981.9","27,090.4","28,256.3","26,918.9","21.66M","3.29%"
"06/02/2025","27,090.4","27,021.8","27,330.4","26,884.6","9.44M","0.38%"
"05/02/2025","26,987.5","27,193.2","27,227.5","26,816.0","9.67M","-0.13%"
"04/02/2025","27,021.8","26,233.1","27,261.8","26,095.9","21.03M","3.55%"
"03/02/2025","26,095.9","26,233.1","26,473.1","25,924.4","12.04M","0.13%"
"24/01/2025","26,061.6","26,130.2","26,164.5","25,890.2","7.30M","-0.26%"
"23/01/2025","26,130.2","25,650.1","26,198.8","25,581.5","10.97M","2.14%"
"22/01/2025","25,581.5","25,787.3","25,787.3","25,547.2","6.51M","0.00%"
"21/01/2025","25,581.5","25,684.4","25,924.4","25,410.1","7.96M","0.00%"
"20/01/2025","25,581.5","25,547.2","25,855.9","25,478.7","6.36M","0.27%"
"17/01/2025","25,513.0","25,238.6","25,513.0","25,101.5","5.71M","1.09%"
"16/01/2025","25,238.6","25,272.9","25,513.0","24,964.3","9.61M","0.14%"
"15/01/2025","25,204.3","25,375.8","25,444.4","25,101.5","7.20M","-0.54%"
"14/01/2025","25,341.5","25,684.4","25,993.0","25,307.2","5.38M","-1.99%"
"13/01/2025","25,855.9","25,513.0","25,855.9","24,827.1","13.56M","0.53%"
"10/01/2025","25,718.7","25,650.1","26,198.8","25,513.0","10.85M","0.27%"
"09/01/2025","25,650.1","25,924.4","25,993.0","25,547.2","5.87M","-1.06%"
"08/01/2025","25,924.4","25,650.1","25,993.0","25,547.2","5.30M","0.93%"
"07/01/2025","25,684.4","25,718.7","26,061.6","25,478.7","9.06M","0.67%"
"06/01/2025","25,513.0","25,547.2","25,821.6","25,410.1","8.74M","0.00%"
"03/01/2025","25,513.0","25,924.4","26,061.6","25,513.0","14.88M","-2.36%"
"02/01/2025","26,130.2","26,061.6","26,267.4","25,787.3","8.31M","0.79%"
"31/12/2024","25,924.4","26,473.1","26,541.7","25,924.4","7.88M","-2.83%"
"30/12/2024","26,678.9","26,404.5","26,678.9","26,301.7","10.43M","0.26%"
"27/12/2024","26,610.3","26,301.7","26,610.3","26,061.6","13.80M","1.57%"
"26/12/2024","26,198.8","26,335.9","26,335.9","26,061.6","7.01M","0.00%"
"25/12/2024","26,198.8","24,827.1","26,541.7","24,827.1","36.43M","5.52%"
"24/12/2024","24,827.1","24,758.5","24,827.1","24,621.4","4.09M","-0.14%"
"23/12/2024","24,861.4","24,827.1","24,895.7","24,758.5","4.48M","0.28%"
"20/12/2024","24,792.8","24,690.0","24,792.8","24,484.2","4.94M","-0.14%"
"19/12/2024","24,827.1","24,587.1","24,827.1","24,415.6","9.14M","-0.14%"
"18/12/2024","24,861.4","24,827.1","24,964.3","24,552.8","4.24M","0.00%"
"17/12/2024","24,861.4","24,861.4","24,930.0","24,724.2","4.96M","0.00%"
"16/12/2024","24,861.4","24,930.0","25,170.0","24,827.1","4.15M","-0.28%"
"13/12/2024","24,930.0","24,792.8","25,032.9","24,758.5","6.05M","0.14%"
"12/12/2024","24,895.7","24,964.3","25,238.6","24,827.1","7.25M","-0.14%"
"11/12/2024","24,930.0","24,895.7","25,101.5","24,827.1","6.35M","0.00%"
