"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/03/2025","39,000.0","39,200.0","39,800.0","37,800.0","1.54M","-0.26%"
"03/03/2025","39,100.0","38,500.0","39,800.0","38,150.0","1.94M","1.56%"
"28/02/2025","38,500.0","38,900.0","39,300.0","38,400.0","2.42M","-0.52%"
"27/02/2025","38,700.0","38,100.0","38,800.0","38,000.0","2.05M","1.57%"
"26/02/2025","38,100.0","37,450.0","38,900.0","37,150.0","2.74M","2.28%"
"25/02/2025","37,250.0","37,000.0","37,500.0","36,650.0","2.52M","1.36%"
"24/02/2025","36,750.0","35,100.0","36,800.0","35,100.0","1.87M","4.55%"
"21/02/2025","35,150.0","35,450.0","35,550.0","35,100.0","545.10K","-0.85%"
"20/02/2025","35,450.0","36,000.0","36,100.0","35,450.0","1.03M","-0.14%"
"19/02/2025","35,500.0","35,500.0","35,600.0","35,250.0","599.80K","0.71%"
"18/02/2025","35,250.0","35,300.0","35,700.0","35,100.0","665.40K","-0.28%"
"17/02/2025","35,350.0","34,850.0","35,650.0","34,500.0","1.23M","2.32%"
"14/02/2025","34,550.0","34,750.0","35,300.0","34,500.0","979.80K","0.58%"
"13/02/2025","34,350.0","34,500.0","34,550.0","34,200.0","383.80K","-0.43%"
"12/02/2025","34,500.0","34,100.0","34,800.0","34,100.0","517.00K","0.44%"
"11/02/2025","34,350.0","34,500.0","34,700.0","34,100.0","368.30K","0.00%"
"10/02/2025","34,350.0","34,150.0","34,900.0","33,950.0","691.80K","-0.29%"
"07/02/2025","34,450.0","34,500.0","34,650.0","34,350.0","349.60K","-0.58%"
"06/02/2025","34,650.0","34,700.0","35,200.0","34,450.0","632.70K","0.58%"
"05/02/2025","34,450.0","34,700.0","34,700.0","34,250.0","435.10K","0.44%"
"04/02/2025","34,300.0","33,450.0","34,400.0","33,300.0","660.20K","2.69%"
"03/02/2025","33,400.0","33,500.0","33,650.0","33,200.0","285.60K","-0.60%"
"24/01/2025","33,600.0","33,450.0","33,750.0","33,450.0","352.90K","-0.30%"
"23/01/2025","33,700.0","33,150.0","34,200.0","33,150.0","432.60K","1.97%"
"22/01/2025","33,050.0","33,500.0","33,500.0","33,050.0","361.60K","-1.20%"
"21/01/2025","33,450.0","33,600.0","33,950.0","33,350.0","306.40K","-0.15%"
"20/01/2025","33,500.0","34,050.0","34,050.0","33,500.0","219.30K","-0.74%"
"17/01/2025","33,750.0","33,900.0","34,000.0","33,600.0","241.60K","-0.44%"
"16/01/2025","33,900.0","33,650.0","34,850.0","33,600.0","638.10K","1.50%"
"15/01/2025","33,400.0","33,500.0","33,550.0","33,100.0","318.00K","1.21%"
"14/01/2025","33,000.0","33,350.0","33,350.0","33,000.0","149.50K","-1.05%"
"13/01/2025","33,350.0","32,550.0","33,500.0","32,200.0","716.10K","2.46%"
"10/01/2025","32,550.0","33,100.0","33,450.0","32,550.0","527.90K","-1.81%"
"09/01/2025","33,150.0","33,400.0","33,650.0","33,150.0","235.20K","-0.75%"
"08/01/2025","33,400.0","33,000.0","33,650.0","33,000.0","461.30K","1.06%"
"07/01/2025","33,050.0","33,600.0","34,000.0","32,900.0","635.90K","-1.34%"
"06/01/2025","33,500.0","34,150.0","34,550.0","32,500.0","542.30K","-2.90%"
"03/01/2025","34,500.0","35,500.0","35,500.0","34,500.0","708.60K","-2.40%"
"02/01/2025","35,350.0","35,600.0","35,650.0","35,200.0","259.50K","-0.42%"
"31/12/2024","35,500.0","35,650.0","35,750.0","35,350.0","201.20K","-0.42%"
"30/12/2024","35,650.0","35,750.0","36,150.0","35,650.0","464.80K","-0.14%"
"27/12/2024","35,700.0","35,850.0","35,950.0","35,550.0","378.30K","-0.28%"
"26/12/2024","35,800.0","35,850.0","36,000.0","35,750.0","193.20K","-0.14%"
"25/12/2024","35,850.0","35,500.0","36,450.0","35,300.0","825.60K","1.85%"
"24/12/2024","35,200.0","35,550.0","35,550.0","35,050.0","428.00K","-0.56%"
"23/12/2024","35,400.0","35,300.0","35,650.0","35,300.0","245.10K","0.00%"
"20/12/2024","35,400.0","35,700.0","35,700.0","35,400.0","346.00K","-0.42%"
"19/12/2024","35,550.0","35,550.0","35,800.0","35,450.0","727.30K","-1.39%"
"18/12/2024","36,050.0","35,900.0","36,200.0","35,800.0","442.40K","0.14%"
"17/12/2024","36,000.0","36,250.0","36,350.0","36,000.0","346.90K","-0.41%"
"16/12/2024","36,150.0","36,000.0","36,200.0","35,850.0","313.70K","0.42%"
"13/12/2024","36,000.0","36,100.0","36,200.0","35,850.0","515.60K","-0.28%"
"12/12/2024","36,100.0","36,500.0","36,600.0","36,050.0","580.80K","-0.69%"
"11/12/2024","36,350.0","36,300.0","36,550.0","36,050.0","904.00K","0.83%"
"10/12/2024","36,050.0","36,100.0","36,400.0","35,950.0","726.50K","-0.69%"
"09/12/2024","36,300.0","36,300.0","36,700.0","36,100.0","722.90K","0.28%"
"06/12/2024","36,200.0","36,600.0","36,750.0","35,950.0","976.50K","-0.41%"
"05/12/2024","36,350.0","34,000.0","36,350.0","33,200.0","2.31M","6.91%"
"04/12/2024","34,000.0","34,750.0","34,750.0","33,900.0","1.25M","-2.30%"
"03/12/2024","34,800.0","35,450.0","35,450.0","34,800.0","482.20K","-1.00%"
"02/12/2024","35,150.0","35,200.0","35,550.0","35,050.0","419.00K","0.14%"
"29/11/2024","35,100.0","34,850.0","35,500.0","34,850.0","468.90K","-0.43%"
"28/11/2024","35,250.0","35,750.0","35,750.0","35,050.0","518.80K","0.14%"
"27/11/2024","35,200.0","35,400.0","35,400.0","35,050.0","311.80K","-0.28%"
"26/11/2024","35,300.0","34,950.0","35,750.0","34,950.0","866.00K","1.29%"
"25/11/2024","34,850.0","34,950.0","35,150.0","34,450.0","502.80K","0.14%"
"22/11/2024","34,800.0","35,200.0","35,300.0","34,600.0","583.20K","-1.00%"
"21/11/2024","35,150.0","35,300.0","35,300.0","34,650.0","346.10K","0.57%"
"20/11/2024","34,950.0","34,050.0","36,000.0","34,050.0","1.18M","1.45%"
